l_title;r_title;label
Royal Canin Mini Light Weight Care;Royal Canin Mini Adult Dog 8kg Dry Dog Food;FALSE
ROYAL CANIN BEAGLE DOG FOOD 12KG;Royal Canin Pug Adult Dog 3kg Dry Dog Food;FALSE
Royal Canin Labrador Retriever Adult;Royal Canin Labrador Retriever Adult 3kg;FALSE
Taste Of The Wild High Prairie Dry Dog Food;Taste Of The Wild Pacific Stream Smoked Salmon Puppy Dry Food;FALSE
Blue Buffalo Life Protection Adult Chicken and Brown Rice Recipe Dry Dog Food;Blue Buffalo Wilderness Rocky Mountain Recipe Small Breed Red Meat Dry Dog Food;FALSE
Taste Of The Wild Grain Free Southwest Canyon with Wild Boar Dry Dog Food;Taste Of The Wild High Prairie Roasted Bison and Venison Puppy Dry Food;FALSE
Royal Canin Jack Russell Terrier Puppy Recipe Dry Dog Food;Blue Buffalo Freedom Grain Free Chicken Recipe Puppy Dry Dog Food;FALSE
Royal Canin Labrador Retriever Adult;Royal Canin Labrador Retriever Adult;FALSE
Taste of the Wild Grain Free Canine Sierra Mountain 2kg Dry Dog Food;TASTE OF THE WILD SIERRA MOUNTAIN GRAIN FREE CANINE 2KG;TRUE
Taste of the Wild Grain Free Canine Sierra Mountain 2kg Dry Dog Food;Taste of the Wild Sierra Mountain Adult;TRUE
Taste of the Wild Grain Free Canine Sierra Mountain 13kg Dry Dog Food;TASTE OF THE WILD SIERRA MOUNTAIN GRAIN FREE CANINE 13KG;TRUE
Taste of the Wild Grain Free Canine Sierra Mountain 13kg Dry Dog Food;Taste of the Wild Sierra Mountain Adult;TRUE
Taste of the Wild Pacific Stream Puppy;TASTE OF THE WILD PACIFIC STREAM GRAIN FREE PUPPY 6KG;TRUE
Taste of the Wild Sierra Mountain Adult;TASTE OF THE WILD SIERRA MOUNTAIN GRAIN FREE CANINE 6KG;TRUE
Taste of the Wild Sierra Mountain Roast Lamb 13Kg;Taste of the Wild Sierra Mountain Canine Formula with Roasted Lamb;TRUE
TASTE OF THE WILD WETLANDS GRAIN FREE CANINE 13KG;Taste of the Wild Grain Free Canine Sierra Mountain 2kg Dry Dog Food;TRUE
TASTE OF THE WILD WETLANDS GRAIN FREE CANINE 13KG;Taste of the Wild Wetlands Wild Fowl 13Kg;TRUE
TASTE OF THE WILD WETLANDS GRAIN FREE CANINE 2KG;Taste of the Wild Grain Free Canine Wetlands 2kg Dry Dog Food;TRUE
Royal Canin Mini Light Weight Care;ROYAL CANIN MINI LIGHT WEIGHT CARE 2KG;TRUE
ROYAL CANIN MINI ADULT DOG FOOD 8KG;Royal Canin Mini Adult Dog 8kg Dry Dog Food;TRUE
ROYAL CANIN MINI ADULT DOG FOOD 8KG;Royal Canin Mini Adult;TRUE
TASTE OF THE WILD SOUTHWEST CANYON GRAIN FREE CANINE 2KG;Taste of the Wild Grain Free Canine Southwest Canyon 2kg Dry Dog Food;TRUE
Taste of the Wild Grain Free Canine Southwest Canyon 13kg Dry Dog Food;Taste of the Wild Southwest Canyon 13Kg;TRUE
Taste of the Wild Grain Free Canine Southwest Canyon 13kg Dry Dog Food;TASTE OF THE WILD SOUTHWEST CANYON GRAIN FREE CANINE 13KG;TRUE
Royal Canin Pug Adult Dog 3kg Dry Dog Food;ROYAL CANIN DOG PUG DOG FOOD 3KG;TRUE
Royal Canin Pug Adult Dog 3kg Dry Dog Food;Royal Canin Pug Adult;TRUE
Royal Canin Beagle Adult 12kg;ROYAL CANIN BEAGLE DOG FOOD 12KG;TRUE
ROYAL CANIN LABRADOR DOG FOOD 3KG;Royal Canin Labrador Retriever Adult Dog 3kg Dry Dog Food;TRUE
ROYAL CANIN LABRADOR DOG FOOD 3KG;Royal Canin Labrador Retriever Adult 3kg;TRUE
ROYAL CANIN LABRADOR DOG FOOD 3KG;Royal Canin Labrador Retriever Adult;TRUE
TASTE OF THE WILD PACIFIC STREAM GRAIN FREE CANINE 2KG;Taste of the Wild Grain Free Canine Pacific Stream 2kg Dry Dog Food;TRUE
Taste of the Wild Grain Free Canine High Prairie 13kg Dry Dog Food;Taste of the Wild High Prairie Venison 13Kg;TRUE
Taste of the Wild Grain Free Canine High Prairie 13kg Dry Dog Food;Taste of the Wild High Prairie Canine Adult;TRUE
Blue Buffalo Life Protection Large Breed Senior Chicken and Brown Rice Recipe Dry Dog Food;Blue Buffalo Life Protection Large Breed Senior Chicken and Brown Rice Recipe Dry Dog Food;TRUE
Blue Buffalo Life Protection Large Breed Senior Chicken and Brown Rice Recipe Dry Dog Food;Blue Buffalo Life Protection Large Breed Senior Chicken and Brown Rice Recipe Dry Dog Food;TRUE
Blue Buffalo Lg Breed Senior Dry Dog Food 30lb;Blue Buffalo Lg Breed Senior Dry Dog Food 30lb;TRUE
Taste Of The Wild Grain Free Appalachian Valley Small Breed Recipe Dry Dog Food;Taste Of The Wild Grain Free Appalachian Valley Small Breed Recipe Dry Dog Food;TRUE
Taste Of The Wild Grain Free Appalachian Valley Small Breed Recipe Dry Dog Food;Taste Of The Wild Grain Free Appalachian Valley Small Breed Recipe Dry Dog Food;TRUE
Taste Of The Wild Grain Free Appalachian Valley Small Breed Recipe Dry Dog Food;Taste Of The Wild Grain Free Appalachian Valley Small Breed Recipe Dry Dog Food;TRUE
Blue Buffalo Life Protect Sm Breed Dog Food 6lb;Blue Buffalo Life Protect Sm Breed Dog Food 6lb;TRUE
Blue Buffalo Life Protect Sm Breed Dog Food 6lb;Blue Buffalo Life Protect Sm Breed Dog Food 6lb;TRUE
Blue Buffalo Life Protect Sm Breed Dog Food 6lb;Blue Buffalo CHKN SM BREED ADULT 6LB;TRUE
Royal Canin Shih Tzu Adult Dry Dog Food;Royal Canin Shih Tzu Adult Dry Dog Food;TRUE
Royal Canin Shih Tzu 24 Dog Food 25 Pounds;Royal Canin Shih Tzu Adult Dry Dog Food;TRUE
Natural Balance Limited Ingredient Diets High Protein Beef Dry Dog Food;Natural Balance Limited Ingredient Diets High Protein Beef Dry Dog Food;TRUE
Natural Balance Limited Ingredient Diets High Protein Beef Dry Dog Food;Natural Balance Limited Ingredient Diets High Protein Beef Dry Dog Food;TRUE
Blue Buffalo Blue Life Protection Formula Senior Chicken & Brown Rice Recipe Dry Dog Food 30 lbs;Blue Buffalo CHKN SENIOR 30LB;TRUE
Blue Buffalo Life Protect Senior Dry Dog Food 30lb;Blue Buffalo Life Protect Senior Dry Dog Food 30lb;TRUE
Natural Balance Limited Ingredients Diet Lamb Meal & Brown Rice Large Breed Dry Dog Food;Natural Balance LID Lg Breed Dry Dog Food 14lb;TRUE
Natural Balance LID Limited Ingredients Diet Lamb Meal and Brown Rice Large Breed Bites Dry Dog Food;Natural Balance LID Limited Ingredients Diet Lamb Meal and Brown Rice Large Breed Bites Dry Dog Food;TRUE
Blue Buffalo Life Protection Adult Chicken and Brown Rice Recipe Dry Dog Food;Blue Buffalo Life Protection Adult Chicken and Brown Rice Recipe Dry Dog Food;TRUE
Blue Buffalo Life Protection Adult Chicken and Brown Rice Recipe Dry Dog Food;Blue Buffalo Chicken & Brown Rice Dog Food;TRUE
Blue Buffalo Life Protection Small Breed Adult Healthy Weight Chicken and Brown Rice Recipe Dry Dog Food;Blue Life Protection Small Breed Weight Dog Food P00205;TRUE
Blue Buffalo Life Protection Small Breed Adult Healthy Weight Chicken and Brown Rice Recipe Dry Dog Food;Blue Life Protection Small Breed Weight Dog Food P00205;TRUE
Royal Canin Poodle Adult Dog 75kg Dry Dog Food;Royal Canin Poodle Adult 75kg;TRUE
Royal Canin Poodle Adult 75kg;ROYAL CANIN POODLE 75 KG;TRUE
Taste of the Wild Pine Forest Venison & Legume Dog Food;Taste Of The Wild Grain Free Pine Forest Recipe Dry Dog Food;TRUE
Taste Of The Wild Grain Free Pine Forest Recipe Dry Dog Food;Taste Of The Wild Grain Free Pine Forest Recipe Dry Dog Food;TRUE
Taste of the Wild Sierra Mountain Canine® Formula Lamb 5lbs;Taste Of The Wild Sierra Mountain Dry Dog Food;TRUE
Blue Buffalo CHICKEN PUPPY 6LB;Blue Buffalo Life Protection Puppy Chicken and Brown Rice Recipe Dry Dog Food;TRUE
Blue Buffalo BLUE Life Protection Formula Adult Toy Breed Chicken and Brown Rice Dry Dog Food;Blue Buffalo Life Protection Formula Adult Toy Breed Chicken and Brown Rice Dry Dog Food;TRUE
Blue Buffalo Lamb and Brown Rice Dog Food;Blue Buffalo Life Protection Adult Lamb and Brown Rice Recipe Dry Dog Food;TRUE
Blue Buffalo Life Protection Adult Lamb and Brown Rice Recipe Dry Dog Food;Blue Buffalo Life Protection Adult Lamb and Brown Rice Recipe Dry Dog Food;TRUE
Blue Buffalo Life Protection Small Breed Puppy Chicken and Oatmeal Recipe Dry Dog Food;Blue Buffalo  SM BRD PUP CKN OAT  6LB;TRUE
Blue Buffalo Small Breed Puppy Chicken & Oatmeal;Blue Buffalo Life Protection Small Breed Puppy Chicken and Oatmeal Recipe Dry Dog Food;TRUE
Blue Buffalo Life Protection Adult Chicken and Brown Rice Recipe Dry Dog Food;Blue Buffalo Chicken & Brown Rice Dog Food;TRUE
Blue Buffalo SM BREED SR 6LB;Blue Buffalo Small Breed Senior Chicken & Brown Rice 6 Lb;TRUE
Royal Canin Maxi Light Weight Care;ROYAL CANIN MAXI ADULT DOG FOOD 4KG;FALSE
Royal Canin Rottweiler Junior;Royal Canin German Shepherd Junior Dog 12kg Dry Dog Food;FALSE
Hills Prescription Diet Canine  Digestive Weight Diabetes Management;Hills Prescription Diet Canine i d Digestive Care;FALSE
Hills Prescription Diet Canine  Digestive Weight Diabetes Management;Hills Prescription Diet Canine i d Digestive Care;FALSE
Royal Canin Labrador Retriever Adult;Royal Canin Golden Retriever Puppy Dry Dog Food;FALSE
Royal Canin Labrador Retriever Junior;Royal Canin Golden Retriever Puppy Dry Dog Food;FALSE
Royal Canin German Shepherd Junior;Royal Canin Pug Junior 15kg Dry Dog Food;FALSE
Royal Canin Golden Retriever Junior;Royal Canin Pug Junior 15kg Dry Dog Food;FALSE
Royal Canin Maxi Puppy;Royal Canin Rottweiler Adult;FALSE
Royal Canin German Shepherd Adult;Royal Canin Shih Tzu Adult Dry Dog Food;FALSE
Royal Canin Golden Retriever Junior 12Kg;Royal Canin Labrador retriever junior 12Kg;FALSE
Royal Canin Great Dane Adult 12Kg;Royal Canin West Highland Terrier Adult 3kg;FALSE
Royal Canin Great Dane Adult 12Kg;Royal Canin Beagle Adult 12kg;FALSE
Royal Canin Labrador Retriever Adult 12Kg;Royal Canin West Highland Terrier Adult 3kg;FALSE
Royal Canin Labrador Retriever Adult 12Kg;Royal Canin Beagle Adult 12kg;FALSE
Royal Canin Labrador retriever junior 12Kg;ROYAL CANIN GERMAN SHEPHERD DOG FOOD 12KG;FALSE
Royal Canin Labrador retriever junior 12Kg;ROYAL CANIN GOLDEN RETRIEVER JUNIOR PUPPY FOOD 12KG;FALSE
Royal Canin Maxi Puppy 15Kg;Royal Canin Shih Tzu Puppy Dry Dog Food;FALSE
Taste of the Wild High Prairie Venison 13Kg;Taste Of The Wild Pacific Stream Canned Dog Food;FALSE
Taste of the Wild High Prairie Venison 13Kg;Taste Of The Wild High Prairie Canned Dog Food;FALSE
Royal Canin Beagle Adult 12kg;Royal Canin German Shepherd Adult 12kg;FALSE
Royal Canin Dog Adult Mini +10 Months (1-10kg) 8kg;Royal Canin X-Small Adult;FALSE
Royal Canin German Shepherd Adult 12kg;Royal Canin West Highland Terrier Adult 3kg;FALSE
Royal Canin German Shepherd Adult 12kg;Royal Canin Rottweiler Adult 12kg;FALSE
Royal Canin Great Dane Adult 12kg;Royal Canin West Highland Terrier Adult 3kg;FALSE
Royal Canin Great Dane Adult 12kg;Royal Canin Rottweiler Adult 12kg;FALSE
Royal Canin Labrador Retriever Adult 12kg;Royal Canin West Highland Terrier Adult 3kg;FALSE
Royal Canin Labrador Retriever Adult 12kg;Royal Canin Rottweiler Adult 12kg;FALSE
Royal Canin Labrador Retriever Adult 3kg;Royal Canin Beagle Adult Dry Dog Food;FALSE
Natural Balance LID Limited Ingredients Diet Lamb Meal and Brown Rice Large Breed Bites Dry Dog Food;Blue Buffalo Life Protection Adult Lamb and Brown Rice Recipe Dry Dog Food;FALSE
Natural Balance Limited Ingredient Diets High Protein Beef Dry Dog Food;Natural Balance Limited Ingredients Diet Lamb Meal & Brown Rice Large Breed Dry Dog Food;FALSE
Natural Balance LID Limited Ingredient Diets Adult Maintenance Sweet Potato and Fish Small Breed Bites Dry Dog Food;Blue Buffalo Life Protection Small Breed Adult Fish and Brown Rice Recipe Dry Dog Food;FALSE
Natural Balance LID Limited Ingredient Diets Adult Maintenance Sweet Potato and Fish Small Breed Bites Dry Dog Food;Natural Balance LID Limited Ingredient Diets Potato and Duck Small Breed Bites Dry Dog Food;FALSE
Royal Canin Shih Tzu Puppy Dry Dog Food;Royal Canin Size Health Nutrition Indoor Life Small Breed Senior Dry Dog Food;FALSE
Royal Canin Shih Tzu Puppy Dry Dog Food;Royal Canin Shih Tzu 24 Dog Food 25 Pounds;FALSE
Royal Canin Golden Retriever Puppy Dry Dog Food;Royal Canin Labrador Retriever Adult;FALSE
Royal Canin Golden Retriever Puppy Dry Dog Food;Royal Canin Labrador Retriever Adult Dog 12kg Dry Dog Food;FALSE
Royal Canin Small Breed Special Dry Dog Food;Royal Canin Shih Tzu 24 Dog Food 25 Pounds;FALSE
Royal Canin Small Breed Special Dry Dog Food;Royal Canin Small Dogs Dermacomfort 2kg Dry Dog Food;FALSE
Blue Buffalo Basics Adult Dog Food Turkey & Potato;Blue Buffalo Chicken & Brown Rice Puppy Food;FALSE
Blue Buffalo Basics Adult Dog Food Turkey & Potato;Blue Buffalo Fish & Sweet Potato Dog Food;FALSE
Blue Buffalo Chicken & Brown Rice Dog Food;Blue Buffalo CHICKEN PUPPY 6LB;FALSE
Blue Buffalo Chicken & Brown Rice Dog Food;Blue Buffalo Large Breed Puppy Chicken & Brown Rice;FALSE
Blue Buffalo Chicken & Brown Rice Puppy Food;Blue Buffalo Puppy Lamb & Oatmeal Recipe 6 Lb;FALSE
Blue Buffalo Chicken & Brown Rice Puppy Food;Blue Buffalo Healthy Weight Chicken & Brown Rice Dog Food;FALSE
Blue Buffalo Fish & Sweet Potato Dog Food;Blue Buffalo Life Protect Sm Breed Dog Food 6lb;FALSE
Blue Buffalo Freedom Small Breed Adult Chicken Recipe Grain-Free Dry Dog Food 11 lbs;Blue Buffalo Large Breed Adult Fish & Oatmeal Dog Food 30 Lb;FALSE
Blue Buffalo Healthy Weight Chicken & Brown Rice Dog Food;Blue Buffalo Wilderness Denali Dinner Dog Food;FALSE
Blue Buffalo Healthy Weight Chicken & Brown Rice Dog Food;Blue Buffalo Large Breed Chicken & Brown Rice Dog Food;FALSE
Blue Buffalo Life Protect Sm Breed Dog Food 6lb;Blue Buffalo Life Protection Large Breed Adult Healthy Weight Chicken and Brown Rice Recipe Dry Dog Food;FALSE
Natural Balance LID Fish Small Breed Dry Dog Food ;Natural Balance Limited Ingredient Diets High Protein Beef Dry Dog Food;FALSE
Blue Freedom Grain Free Small Breed Dry Dog Food P00204;Royal Canin Size Health Nutrition Small Breed Adult Dry Dog Food;FALSE
Blue Life Protection Small Breed Weight Dog Food P00205;Royal Canin Small Breed Special Dry Dog Food;FALSE
Blue Wilderness Dog Food 12pk Turkey Chicken;Blue Buffalo Wilderness Grain Free Large Breed Chicken Dry Dog Food;FALSE
Natural Balance LID Lg Breed Dry Dog Food 14lb;Royal Canin Small Breed Special Dry Dog Food;FALSE
Blue Buffalo Wilderness Duck Dry Dog Food 24lb;Blue Buffalo Life Protect Sm Breed Dog Food 6lb;FALSE
Blue Buffalo Life Protect Senior Dry Dog Food 30lb;Blue Buffalo Life Protection Large Breed Adult Healthy Weight Chicken and Brown Rice Recipe Dry Dog Food;FALSE
Blue Buffalo Lg Breed Senior Dry Dog Food 30lb;Blue Buffalo Life Protection Large Breed Adult Healthy Weight Chicken and Brown Rice Recipe Dry Dog Food;FALSE
Blue Buffalo Basic Turkey Potato Dry Dog Food 11lb;Blue Buffalo Life Protect Sm Breed Dog Food 6lb;FALSE
Taste of the Wild Pacific Stream Canine® Formula Salmon 5lb;TASTE OF THE WILD WETLANDS CANINE 374GX12;FALSE
Taste of the Wild Sierra Mountain Canine® Formula Lamb 5lbs;TASTE OF THE WILD WETLANDS CANINE 374GX12;FALSE
Blue Buffalo Basics Grain Free Adult Duck and Potato Recipe Dry Dog Food;Blue Buffalo Wilderness Rocky Mountain Recipe Small Breed Red Meat Dry Dog Food;FALSE
Blue Buffalo Freedom Grain Free Chicken Recipe Puppy Dry Dog Food;Blue Buffalo Life Protection Formula Adult Toy Breed Chicken and Brown Rice Dry Dog Food;FALSE
Blue Buffalo Freedom Large Breed Adult Beef Recipe Dry Dog Food;Blue Buffalo Life Protection Puppy Chicken and Brown Rice Recipe Dry Dog Food;FALSE
Blue Buffalo Life Protection Adult Chicken and Brown Rice Recipe Dry Dog Food;Blue Buffalo Wilderness Rocky Mountain Recipe Small Breed Red Meat Dry Dog Food;FALSE
Blue Buffalo Life Protection Adult Fish and Brown Rice Recipe Dry Dog Food;Blue Buffalo Wilderness Rocky Mountain Recipe Small Breed Red Meat Dry Dog Food;FALSE
Blue Buffalo Life Protection Adult Lamb and Brown Rice Recipe Dry Dog Food;Blue Buffalo Wilderness Rocky Mountain Recipe Small Breed Red Meat Dry Dog Food;FALSE
Blue Buffalo Life Protection Formula Adult Toy Breed Chicken and Brown Rice Dry Dog Food;Blue Buffalo Freedom Grain Free Chicken Recipe Puppy Dry Dog Food;FALSE
Blue Buffalo Life Protection Healthy Weight Adult Chicken and Brown Rice Recipe Dry Dog Food;Blue Buffalo Wilderness Grain Free Large Breed Chicken Dry Dog Food;FALSE
Blue Buffalo Life Protection Large Breed Adult Chicken and Brown Rice Recipe Dry Dog Food;Natural Balance Limited Ingredients Diet Lamb Meal & Brown Rice Large Breed Dry Dog Food;FALSE
Blue Buffalo Life Protection Large Breed Adult Fish and Oatmeal Recipe Dry Dog Food;Blue Buffalo Wilderness Grain Free Small Breed  Chicken Dry Dog Food;FALSE
Blue Buffalo Life Protection Adult Chicken and Brown Rice Recipe Dry Dog Food;Blue Buffalo BLUE Wilderness Rocky Mountain Recipe Small Breed Red Meat Dry Dog Food;FALSE
Blue Buffalo Life Protection Adult Fish and Brown Rice Recipe Dry Dog Food;Blue Buffalo Blue Wilderness Large Breed Adult Chicken Recipe Dry Dog Food 24 lbs;FALSE
Blue Buffalo Life Protection Adult Lamb and Brown Rice Recipe Dry Dog Food;Blue Buffalo Blue Wilderness Large Breed Adult Chicken Recipe Dry Dog Food 24 lbs;FALSE
Blue Buffalo Life Protection Healthy Weight Adult Chicken and Brown Rice Recipe Dry Dog Food;Blue Buffalo Wilderness Grain Free Large Breed Chicken Dry Dog Food;FALSE
Blue Buffalo Life Protection Large Breed Adult Chicken and Brown Rice Recipe Dry Dog Food;Natural Balance Limited Ingredients Diet Lamb Meal & Brown Rice Large Breed Dry Dog Food;FALSE
Blue Buffalo Life Protection Large Breed Adult Healthy Weight Chicken and Brown Rice Recipe Dry Dog Food;Blue Buffalo Life Protect Sm Breed Dog Food 6lb;FALSE
